S Firstname Count
M Robert	576355	
M John	    564066	
M James	    515304	
M William	512394	
M Charles	298030	
M George	261952	
M Joseph	243809	
M Richard	222604	
M Edward	197355	
M Donald	191820
F Mary	    701739
F Dorothy	368865
F Helen	    290397
F Betty	    283087
F Margaret	245006
F Ruth	    218508
F Virginia	169551
F Doris	    151187
F Mildred	147152
F Frances	140387	
